suchprofil;firma;domain;apollo_org_id;land;stadt;branche;mitarbeiter;beschreibung;personen_name;personen_titel;linkedin;email_status;score;klasse;positive_signale;negative_signale;empfehlung;naechster_schritt;quelle
Bestellprozess-Signale Apotheke;Parloa;parloa.com;5e574a7ae7950300017e55f4;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;Healthcare Shapers;healthcareshapers.com;5a9e7945a6da98d977fb3833;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;VIVATIS Pharma GmbH;;5e571fe334261300014e3e57;Deutschland;;;;;;;;nicht gezogen;35;P;Hersteller/Pharma-Indiz: pharma;;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
Bestellprozess-Signale Apotheke;SK Pharma Logistics GmbH;sk-pharma-logistics.de;56d3e409f3e5bb3a5b00195c;Deutschland;;;;;;;;nicht gezogen;35;P;Hersteller/Pharma-Indiz: pharma;;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
Bestellprozess-Signale Apotheke;good healthcare group;goodhealthcare.com;5a9ee07ba6da98d932e62d08;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;smartpatient;smartpatient.eu;556d495d73696412438eda00;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;Sysmex Europe;sysmex-europe.com;618cef7a4fa6ef00f71c13dc;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;Recordati Pharma Germany;recordati.de;5d0aa02da3ae61e23db130db;Deutschland;;;;;;;;nicht gezogen;35;P;Hersteller/Pharma-Indiz: pharma;;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
Bestellprozess-Signale Apotheke;Grünhorn;gruenhorn.group;61154b62e18ddd00a40f31a3;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;FUTRUE;futrue.com;5e5809084ab14d000198f0d3;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;ATC Aviation Services AG;atc-aviation.com;54a127b569702d954899af00;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
Bestellprozess-Signale Apotheke;PHARMAPLAN (TTP Group);pharmaplan.com;5e577dfea4128d0001c707fb;Deutschland;;;;;;;;nicht gezogen;35;P;Hersteller/Pharma-Indiz: pharma;;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
